time,dhi_pyr,ghi_pyr_1,ghi_pyr_2,air_temperature,relative_humidity,barometric_pressure,precipitation,wind_speed,wind_from_direction,gti_clean,gti_soil,gti_monthly,sensor_cleaning
2020-01-02 00:00:00,0.0,0.0,0.0,24.41,88.63,1006.33,0.0,0.57,342.18,0.0,0.0,0.0,0.0
2020-01-02 00:15:00,0.0,0.0,0.0,24.37,88.97,1006.2,0.0,0.47,351.74,0.0,0.0,0.0,0.0
2020-01-02 00:30:00,0.0,0.0,0.0,24.22,89.8,1006.15,0.0,0.24,327.94,0.0,0.0,0.0,0.0
2020-01-02 00:45:00,0.0,0.0,0.0,24.16,90.71,1005.97,0.0,0.87,334.78,0.0,0.0,0.0,0.0
2020-01-02 01:00:00,0.0,0.0,0.0,24.33,88.98,1005.79,0.0,1.07,337.6,0.0,0.0,0.0,0.0
2020-01-02 01:15:00,0.0,0.0,0.0,24.67,88.07,1005.68,0.0,1.18,349.29,0.0,0.0,0.0,0.0
2020-01-02 01:30:00,0.0,0.0,0.0,24.8,86.44,1005.69,0.0,1.05,358.33,0.0,0.0,0.0,0.0
2020-01-02 01:45:00,0.0,0.0,0.0,24.77,87.25,1005.64,0.0,1.59,349.09,0.0,0.0,0.0,0.0
2020-01-02 02:00:00,0.0,0.0,0.0,24.57,87.75,1005.53,0.0,0.88,358.3,0.0,0.0,0.0,0.0
2020-01-02 02:15:00,0.0,0.0,0.0,24.61,87.64,1005.44,0.0,1.08,344.53,0.0,0.0,0.0,0.0
2020-01-02 02:30:00,0.0,0.0,0.0,24.86,86.84,1005.41,0.0,1.34,355.56,0.0,0.0,0.0,0.0
2020-01-02 02:45:00,0.0,0.0,0.0,24.83,86.75,1005.36,0.0,1.29,348.38,0.0,0.0,0.0,0.0
2020-01-02 03:00:00,0.0,0.0,0.0,24.91,86.96,1005.37,0.0,1.69,358.17,0.0,0.0,0.0,0.0
2020-01-02 03:15:00,0.0,0.0,0.0,24.85,86.13,1005.29,0.0,1.31,355.73,0.0,0.0,0.0,0.0
2020-01-02 03:30:00,0.0,0.0,0.0,24.81,86.38,1005.2,0.0,1.55,346.68,0.0,0.0,0.0,0.0
2020-01-02 03:45:00,0.0,0.0,0.0,24.8,86.76,1005.09,0.0,1.22,359.95,0.0,0.0,0.0,0.0
2020-01-02 04:00:00,0.0,0.0,0.0,24.79,87.0,1005.17,0.0,1.0,341.45,0.0,0.0,0.0,0.0
2020-01-02 04:15:00,0.0,0.0,0.0,24.72,87.04,1005.27,0.0,0.95,351.89,0.0,0.0,0.0,0.0
2020-01-02 04:30:00,0.0,0.0,0.0,24.63,87.63,1005.43,0.0,1.33,353.75,0.0,0.0,0.0,0.0
2020-01-02 04:45:00,0.0,0.0,0.0,24.8,87.27,1005.52,0.0,1.54,358.67,0.0,0.0,0.0,0.0
2020-01-02 05:00:00,0.0,0.0,0.0,24.85,87.65,1005.59,0.0,1.52,359.55,0.0,0.0,0.0,0.0
2020-01-02 05:15:00,0.0,0.0,0.0,24.92,87.32,1005.7,0.0,2.0,354.17,0.0,0.0,0.0,0.0
2020-01-02 05:30:00,0.0,0.0,0.0,24.95,87.19,1005.79,0.0,1.6,352.97,0.0,0.0,0.0,0.0
2020-01-02 05:45:00,0.0,0.0,0.0,24.89,87.19,1005.95,0.0,1.76,352.01,0.0,0.0,0.0,0.0
2020-01-02 06:00:00,0.0,0.0,0.0,24.84,87.38,1006.13,0.0,1.61,343.62,0.0,0.0,0.0,0.0
2020-01-02 06:15:00,8.58,11.38,10.52,24.86,87.47,1006.26,0.0,1.12,357.06,12.15,12.02,12.06,0.0
2020-01-02 06:30:00,17.82,48.07,45.34,25.48,87.08,1006.48,0.0,1.37,352.8,50.24,48.65,49.53,0.0
2020-01-02 06:45:00,26.41,98.85,94.91,26.47,84.57,1006.83,0.0,1.08,351.83,106.63,104.16,105.75,0.0
2020-01-02 07:00:00,34.88,156.99,152.53,26.73,81.01,1007.07,0.0,0.95,356.59,172.64,167.29,169.56,0.0
2020-01-02 07:15:00,40.53,217.16,212.47,27.23,81.3,1007.09,0.0,1.25,355.36,240.44,234.05,236.87,0.0
2020-01-02 07:30:00,47.15,279.46,274.89,27.58,80.26,1007.33,0.0,1.62,356.44,310.69,303.54,306.78,0.0
2020-01-02 07:45:00,49.26,346.04,341.66,28.5,78.51,1007.42,0.0,1.46,356.76,384.88,377.11,380.68,0.0
2020-01-02 08:00:00,55.33,406.99,403.06,28.51,77.39,1007.42,0.0,1.99,342.44,451.57,443.64,447.3,0.0
2020-01-02 08:15:00,68.22,482.51,478.5,28.78,77.09,1007.52,0.0,2.19,359.51,533.86,525.73,529.56,0.0
2020-01-02 08:30:00,113.43,570.85,567.21,29.2,74.13,1007.59,0.0,2.44,358.0,631.08,623.15,626.99,0.0
2020-01-02 08:45:00,98.97,614.32,611.79,29.6,71.72,1007.65,0.0,2.95,359.61,676.7,668.43,672.41,0.0
2020-01-02 09:00:00,87.38,644.92,642.6,29.74,69.97,1007.66,0.0,2.14,356.14,706.22,698.37,702.14,0.0
2020-01-02 09:15:00,81.33,701.0,699.52,29.95,67.68,1007.58,0.0,2.45,352.81,765.7,757.95,761.6,0.0
2020-01-02 09:30:00,121.81,786.63,785.85,30.14,69.68,1007.52,0.0,2.25,358.08,855.55,848.6,852.03,0.0
2020-01-02 09:45:00,144.4,814.73,813.08,30.7,66.52,1007.37,0.0,2.6,343.74,888.43,881.51,884.95,0.0
2020-01-02 10:00:00,91.57,835.12,834.71,30.54,63.99,1007.23,0.0,3.39,351.34,900.6,894.79,897.75,0.0
2020-01-02 10:15:00,174.43,909.88,906.99,31.0,62.4,1007.04,0.0,3.33,341.38,978.81,972.02,975.41,0.0
2020-01-02 10:30:00,256.06,1038.15,1036.46,31.03,60.78,1006.91,0.0,3.08,359.33,1113.71,1109.19,1111.6,0.0
2020-01-02 10:45:00,306.87,1035.89,1033.86,31.27,61.69,1006.75,0.0,3.07,340.96,1112.68,1108.08,1110.3,0.0
2020-01-02 11:00:00,222.97,1055.87,1054.66,31.47,62.76,1006.57,0.0,3.4,357.34,1129.78,1126.06,1128.27,0.0
2020-01-02 11:15:00,309.17,1103.11,1101.34,31.38,60.12,1006.36,0.0,3.1,347.79,1169.45,1165.99,1168.47,0.0
2020-01-02 11:30:00,308.04,1150.07,1151.1,31.15,60.35,1006.19,0.0,2.53,353.76,1224.16,1221.1,1223.07,0.0
2020-01-02 11:45:00,342.4,1185.39,1184.55,31.8,59.18,1005.86,0.0,3.17,63.77,1256.41,1254.65,1255.55,0.0
2020-01-02 12:00:00,348.56,1118.38,1115.73,31.1,64.83,1005.67,0.0,3.17,349.17,1182.65,1181.84,1182.99,0.0
2020-01-02 12:15:00,333.6,1162.53,1161.91,31.52,63.91,1005.53,0.0,3.56,69.99,1228.4,1228.76,1229.1,0.0
2020-01-02 12:30:00,312.4,1172.12,1168.69,29.93,68.81,1005.39,0.0,4.47,76.1,1230.95,1232.39,1232.65,0.0
2020-01-02 12:45:00,341.64,1172.54,1168.97,30.22,68.16,1005.25,0.0,4.5,85.8,1228.1,1230.21,1230.02,0.0
2020-01-02 13:00:00,296.58,930.06,925.98,30.18,68.78,1005.02,0.0,4.56,76.72,968.38,969.09,969.6,0.0
2020-01-02 13:15:00,308.05,925.92,918.99,30.47,69.2,1004.8,0.0,4.15,85.83,955.62,957.69,957.61,0.0
2020-01-02 13:30:00,238.29,1045.81,1041.92,30.67,69.9,1004.5,0.0,3.69,90.43,1091.84,1095.89,1094.87,0.0
2020-01-02 13:45:00,349.03,992.62,991.92,30.58,69.26,1004.22,0.0,4.76,87.29,1024.26,1028.85,1027.42,0.0
2020-01-02 14:00:00,338.54,1012.88,1010.04,29.59,69.64,1004.09,0.0,4.69,76.81,1049.7,1054.35,1053.46,0.0
2020-01-02 14:15:00,232.49,881.62,877.52,30.17,68.73,1003.96,0.0,4.34,83.56,912.48,918.06,916.28,0.0
2020-01-02 14:30:00,270.11,670.56,667.3,29.72,69.07,1003.72,0.0,4.29,73.93,689.55,692.49,691.97,0.0
2020-01-02 14:45:00,252.46,567.53,565.85,29.73,70.0,1003.6,0.0,2.64,60.09,594.68,599.58,598.1,0.0
2020-01-02 15:00:00,227.71,811.63,805.54,30.17,69.46,1003.54,0.0,3.28,76.27,834.17,838.76,837.99,0.0
2020-01-02 15:15:00,205.14,722.46,718.35,30.46,66.87,1003.63,0.0,2.84,356.03,754.87,760.96,759.37,0.0
2020-01-02 15:30:00,160.05,622.9,619.97,30.66,63.32,1003.68,0.0,2.78,357.72,644.85,650.93,649.17,0.0
2020-01-02 15:45:00,139.58,562.73,557.83,31.45,61.0,1003.71,0.0,1.74,353.04,580.4,586.38,584.78,0.0
